ticker,gics_category,error
INCY,Health Care,
INTC,Information Technology,
INTU,Information Technology,
IP,Materials,
IPG,Communication Services,
IRM,Real Estate,
IT,Industrials,
ITW,Industrials,
IVZ,Financials,
J,Energy,
JBHT,Industrials,
JCI,Industrials,
JKHY,Information Technology,
JNJ,Health Care,
JNPR,Information Technology,
JPM,Financials,
K,Consumer Staples,
KEY,Financials,
KLAC,Information Technology,
KMB,Consumer Staples,
KMX,Consumer Discretionary,
KO,Consumer Staples,
KR,Consumer Staples,
KSS,Consumer Discretionary,
KSU,Industrials,
L,Financials,
LB,Financials,
LEN,Real Estate,
LLY,Health Care,
LMT,Industrials,
LNC,Financials,
LNT,Utilities,
LOW,Consumer Discretionary,
LRCX,Information Technology,
LUV,Industrials,
MAA,Real Estate,
MAR,Consumer Discretionary,
MAS,Industrials,
MCD,Consumer Discretionary,
MCHP,Information Technology,
MCO,Financials,
MDT,Health Care,
MGM,Consumer Discretionary,
MHK,Consumer Discretionary,
MKC,Consumer Staples,
MLM,Materials,
MMC,Financials,
MMM,Industrials,
MNST,Consumer Staples,
MO,Consumer Staples,
MRK,Health Care,
MRO,Energy,
MS,Financials,
MSFT,Information Technology,
MSI,Information Technology,
MTB,Financials,
MTD,Health Care,
MU,Information Technology,
MXIM,Information Technology,
NEE,Utilities,
NEM,Materials,
NI,Information Technology,
NLOK,Information Technology,
NOC,Industrials,
NOV,Energy,
NSC,Industrials,
NTAP,Information Technology,
NTRS,Financials,
NUE,Materials,
NVDA,Information Technology,
NVR,Real Estate,
NWL,Consumer Discretionary,
O,Real Estate,
OKE,Energy,
OMC,Communication Services,
ORCL,Information Technology,
ORLY,Consumer Discretionary,
OXY,Energy,
PBCT,Financials,
PCAR,Industrials,
PEAK,Real Estate,
PEG,Utilities,
PEP,Consumer Staples,
PG,Consumer Staples,
PGR,Financials,
PH,Industrials,
PHM,Real Estate,
PLD,Real Estate,
PNC,Financials,
PNR,Industrials,
PNW,Utilities,
PPG,Materials,
PPL,Utilities,
PRGO,Health Care,
PSA,Real Estate,
PWR,Industrials,
QCOM,Information Technology,
RCL,Consumer Discretionary,
RE,Financials,
REG,Real Estate,
REGN,Health Care,
RF,Financials,
RJF,Financials,
RL,Consumer Discretionary,
RMD,Health Care,
ROP,Industrials,
ROST,Consumer Discretionary,
RSG,Industrials,
RTX,Industrials,
SBAC,Real Estate,
SBUX,Consumer Discretionary,
SCHW,Financials,
SEE,Materials,
SHW,Materials,
SIVB,Financials,
SJM,Consumer Staples,
SLB,Energy,
SLG,Real Estate,
SNA,Industrials,
SNPS,Information Technology,
SO,Utilities,
SPG,Real Estate,
SRE,Utilities,
STE,Health Care,
STT,Financials,
STZ,Consumer Staples,
SWK,Industrials,
SWKS,Information Technology,
SYK,Health Care,
SYY,Consumer Staples,
T,Communication Services,
TAP,Consumer Staples,
TFC,Financials,
TFX,Health Care,
TGT,Consumer Discretionary,
TJX,Consumer Discretionary,
TMO,Health Care,
TROW,Financials,
TRV,Financials,
TSCO,Consumer Staples,
TSN,Consumer Staples,
TT,Industrials,
TTWO,Communication Services,
TXN,Information Technology,
TXT,Industrials,
TYL,Information Technology,
UDR,Real Estate,
UHS,Health Care,
UNH,Health Care,
UNM,Financials,
UNP,Industrials,
URI,Industrials,
USB,Financials,
VAR,Health Care,
VFC,Consumer Discretionary,
VLO,Energy,
VMC,Materials,
VNO,Real Estate,
VRSN,Information Technology,
VRTX,Health Care,
VTR,Real Estate,
VZ,Communication Services,
WAB,Industrials,
WAT,Health Care,
WBA,Consumer Staples,
WDC,Information Technology,
WEC,Utilities,
WFC,Financials,
WHR,Consumer Discretionary,
WM,Industrials,
WMB,Energy,
WMT,Consumer Staples,
WRB,Financials,
WST,Health Care,
WY,Materials,
XEL,Utilities,
XLNX,Information Technology,
XOM,Energy,
XRAY,Health Care,
XRX,Information Technology,
YUM,Consumer Discretionary,
ZBRA,Information Technology,
ZION,Financials,
ABT,Health Care,
ALXN,Health Care,
AMZN,Consumer Discretionary,
CLX,Consumer Staples,
COST,Consumer Staples,
CPRT,Industrials,
CTSH,Information Technology,
GE,Industrials,
GLW,Materials,
LEG,Consumer Discretionary,
LH,Health Care,
MCK,Health Care,
MOS,Materials,
NKE,Consumer Discretionary,
ODFL,Industrials,
PAYX,Industrials,
PFE,Health Care,
PKI,Health Care,
PVH,Consumer Discretionary,
PXD,Energy,
